ID,logFC,AveExpr,t,P.Value,adj.P.Val
ENSG00000198734,2.2568307383012347,8.559253744635553,20.346985096150128,3.138791562443061e-8,3.3333966393145304e-5
ENSG00000081985,2.7508507969924896,7.012516854467439,19.903401691501106,3.7390178946172466e-8,3.686701651150039e-5
ENSG00000204252,2.1010198679642276,7.533410453308486,19.72261196371786,4.019759577406131e-8,3.686701651150039e-5
ENSG00000080561,-2.801019180216654,7.5528701624092855,-19.703957187556387,4.050048894860369e-8,3.686701651150039e-5
ENSG00000148429,-2.3069160719094484,5.895332786341571,-19.48253205160938,4.4298207192602726e-8,3.8491114940626984e-5
ENSG00000128536,1.9158521731832245,7.0066930051568965,19.224273469642498,4.924122117100914e-8,4.064759892925844e-5
ENSG00000148488,3.3105323487513263,6.068417935995135,19.13056476472489,5.118537924205727e-8,4.064759892925844e-5
ENSG00000102245,-2.953844561021025,8.13847446974263,-19.02778072483116,5.341743129953159e-8,4.064759892925844e-5
ENSG00000163492,2.545263117304247,6.903888461430166,18.90723274726214,5.617547642411018e-8,4.064759892925844e-5
ENSG00000141682,2.482100637167973,10.352675755154575,18.855329848853312,5.7411862894432825e-8,4.064759892925844e-5
ENSG00000165409,2.128227560140022,6.215364217078894,18.649793905271885,6.261667423675519e-8,4.274929802535043e-5
ENSG00000138764,2.041018837204931,7.676428293479393,18.477381713473154,6.739274210792464e-8,4.442343648741681e-5
ENSG00000114948,-2.7035835019259165,6.773044915903246,-18.120483853192933,7.863426656951904e-8,5.010575465809754e-5
ENSG00000170345,-2.532283983876658,9.400204269213404,-17.797887169197576,9.062892590113588e-8,5.588588862987463e-5
ENSG00000173198,-3.120205400291756,6.971176087058851,-17.650204378726887,9.679418082857892e-8,5.782242377247234e-5
ENSG00000113319,-2.1409910438193642,6.7630156043089364,-17.37307637448846,1.0967453884272327e-7,6.303256106582641e-5
ENSG00000172673,-3.4920532920691665,6.8849796363886,-17.324774288720544,1.1211064428950084e-7,6.303256106582641e-5
ENSG00000137507,2.641706995207139,7.044582357284123,17.15470899513201,1.211832075919154e-7,6.618680560934442e-5
ENSG00000186265,-1.9684449035915441,5.730542182938192,-16.988129428954828,1.3087478344608103e-7,6.949451000986902e-5
ENSG00000136854,-2.0589075372491576,7.121832366859574,-16.90628378884564,1.3595256534931762e-7,6.973309597432086e-5
ENSG00000008283,-2.1873794759056735,6.986647501011192,-16.864652068580135,1.386198810956368e-7,6.973309597432086e-5
ENSG00000204287,2.352142782713096,8.843208634021742,16.43281554453909,1.7003492410781693e-7,8.33432720319238e-5
ENSG00000138821,-1.9029730803005127,8.56238846367141,-16.040093803828828,2.0566252490365273e-7,9.734205017496397e-5
ENSG00000142192,-2.0919831265294224,8.553071239858506,-16.009424810918084,2.0877924551022822e-7,9.734205017496397e-5
ENSG00000259278,2.143625951845588,6.260345948516724,15.722403201254897,2.4065739608283724e-7,1.0772126762842988e-4
ENSG00000138376,1.6861027390886263,7.6248924691235525,15.708696042110628,2.423108656634487e-7,1.0772126762842988e-4
ENSG00000104427,1.6491522214104726,8.398737252581618,15.601304019624543,2.5571481622243154e-7,1.1109646424790911e-4
ENSG00000162496,-2.719137987146092,7.4986737508945955,-15.4079011788252,2.8200155430001e-7,1.16103767581657e-4
ENSG00000152413,-1.71496334552866,6.020868604052652,-15.211672994531781,3.118056103939986e-7,1.16103767581657e-4
ENSG00000205189,-2.603285575501379,7.965431538161974,-15.198133140245513,3.139887318358521e-7,1.16103767581657e-4
ENSG00000113269,-2.221921496498232,6.889914767867384,-15.197031025679971,3.1416718516306376e-7,1.16103767581657e-4
ENSG00000150457,-2.059899019191636,7.220506790053489,-15.170029129742185,3.185749852119273e-7,1.16103767581657e-4
ENSG00000149289,1.791802820847842,6.1999159945448135,15.097045510315182,3.3083946210369697e-7,1.16103767581657e-4
ENSG00000157570,-1.4803358730172946,7.795014083278818,-15.025248662747504,3.434226669264515e-7,1.16103767581657e-4
ENSG00000161921,-2.2533389878771013,7.492623299358345,-15.022124589776036,3.439822377381602e-7,1.16103767581657e-4
ENSG00000109452,-1.744979512344369,7.709568292312364,-15.013281441228,3.4557172856620406e-7,1.16103767581657e-4
ENSG00000025039,-1.8965558381242495,7.063136102463338,-14.965498440395427,3.5430393912119113e-7,1.16103767581657e-4
ENSG00000162437,-1.6241205438459736,6.491835149922225,-14.964764592301846,3.5443996046611556e-7,1.16103767581657e-4
